protein_id,go_term
YAL064W,GO:0005575
YAL064W,GO:0003674
YAL064W-B,GO:0008150
YAL064W-B,GO:0005783
YAL064W-B,GO:0016020
YAL064W-B,GO:0003674
YAL065C,GO:0008150
YAL065C,GO:0005575
YAL065C,GO:0016020
YAL065C,GO:0003674
YAL067C,GO:0015719
YAL067C,GO:0055085
YAL067C,GO:0016020
YAL067C,GO:0071944
YAL067C,GO:0015124
YAL067C,GO:0022857
YAL067W-A,GO:0008150
YAL067W-A,GO:0005575
YAL067W-A,GO:0003674
YAL068C,GO:0030437
YAL068C,GO:0031505
YAL068C,GO:0005575
YAL068C,GO:0009277
YAL068C,GO:0003674
YAL068C,GO:0005199
YAR002C-A,GO:0006621
YAR002C-A,GO:0006886
YAR002C-A,GO:0006888
YAR002C-A,GO:0007030
YAR002C-A,GO:0015031
YAR002C-A,GO:0016192
YAR002C-A,GO:0005739
YAR002C-A,GO:0005783
YAR002C-A,GO:0005789
YAR002C-A,GO:0005793
YAR002C-A,GO:0005794
YAR002C-A,GO:0016020
YAR002C-A,GO:0030134
YAR002C-A,GO:0003674
YAR002W,GO:0000972
YAR002W,GO:0000973
YAR002W,GO:0006302
YAR002W,GO:0006607
YAR002W,GO:0006611
YAR002W,GO:0006913
YAR002W,GO:0008298
YAR002W,GO:0015031
YAR002W,GO:0016973
YAR002W,GO:0030466
YAR002W,GO:0031990
YAR002W,GO:0034398
YAR002W,GO:0051028
YAR002W,GO:0051276
YAR002W,GO:0060188
YAR002W,GO:0005634
YAR002W,GO:0005643
YAR002W,GO:0005829
YAR002W,GO:0016020
YAR002W,GO:0031965
YAR002W,GO:0044613
YAR002W,GO:0044615
YAR002W,GO:0005543
YAR002W,GO:0017056
YAR003W,GO:0000723
YAR003W,GO:0006355
YAR003W,GO:0031509
YAR003W,GO:0000781
YAR003W,GO:0005634
YAR003W,GO:0005694
YAR003W,GO:0048188
YAR003W,GO:0042800
YAR007C,GO:0000722
YAR007C,GO:0000724
YAR007C,GO:0006260
YAR007C,GO:0006265
YAR007C,GO:0006268
YAR007C,GO:0006281
YAR007C,GO:0006289
YAR007C,GO:0006310
YAR007C,GO:0006312
YAR007C,GO:0007004
YAR007C,GO:0007131
YAR007C,GO:0010833
YAR007C,GO:0016567
YAR007C,GO:0030491
YAR007C,GO:0032079
YAR007C,GO:0045184
YAR007C,GO:1905776
YAR007C,GO:0000781
YAR007C,GO:0000794
YAR007C,GO:0005634
YAR007C,GO:0005662
YAR007C,GO:0005737
YAR007C,GO:0005829
YAR007C,GO:0003677
YAR007C,GO:0003690
YAR007C,GO:0003697
YAR007C,GO:0003729
YAR007C,GO:0008270
YAR007C,GO:0043565
YAR007C,GO:0046872
YAR008W,GO:0000379
YAR008W,GO:0006388
YAR008W,GO:0008033
YAR008W,GO:0000214
YAR008W,GO:0005634
YAR008W,GO:0005739
YAR008W,GO:0005741
YAR008W,GO:0012505
YAR008W,GO:0000213
YAR008W,GO:0003676
YAR008W,GO:0016829
YAR014C,GO:0001100
YAR014C,GO:0006355
YAR014C,GO:0007010
YAR014C,GO:0008104
YAR014C,GO:0008360
YAR014C,GO:0030837
YAR014C,GO:0030950
YAR014C,GO:0032465
YAR014C,GO:0032880
YAR014C,GO:0051301
YAR014C,GO:0060627
YAR014C,GO:0090337
YAR014C,GO:0000131
YAR014C,GO:0005634
YAR014C,GO:0005737
YAR014C,GO:0005934
YAR014C,GO:0005935
YAR014C,GO:0015630
YAR014C,GO:0051286
YAR014C,GO:1990615
YAR014C,GO:0019888
YAR015W,GO:0006164
YAR015W,GO:0006189
YAR015W,GO:0005634
YAR015W,GO:0005737
YAR015W,GO:0004639
YAR015W,GO:0005524
YAR015W,GO:0016874
YAR018C,GO:0006338
YAR018C,GO:0006468
YAR018C,GO:0007059
YAR018C,GO:0016310
YAR018C,GO:0005575
YAR018C,GO:0005634
YAR018C,GO:0005737
YAR018C,GO:0044732
YAR018C,GO:0004672
YAR018C,GO:0004674
YAR018C,GO:0005524
YAR018C,GO:0044024
YAR018C,GO:0106310
YAR019C,GO:0000281
YAR019C,GO:0006338
YAR019C,GO:0006468
YAR019C,GO:0007096
YAR019C,GO:0016310
